RowID,code,question.order,dice.removal
1,Hfrd1,height first,removed dice before 1st task
2,Hfkd,height first,kept dice
3,Hfkd,height first,kept dice
4,Hfrd1,height first,removed dice before 1st task
5,Hfkd,height first,kept dice
6,Hfrd2,height first,removed dice before 2nd task
7,Hfrd1,height first,removed dice before 1st task
8,Hfkd,height first,kept dice
9,Hfkd,height first,kept dice
10,Hfrd2,height first,removed dice before 2nd task
11,Hfkd,height first,kept dice
12,Hfrd1,height first,removed dice before 1st task
13,HfrdTask,height first,removed dice before 1st prompt
14,Hfkd,height first,kept dice
15,HfrdTask,height first,removed dice before 1st prompt
16,Hfrd2,height first,removed dice before 2nd task
17,Hfkd,height first,kept dice
18,Hfrd2,height first,removed dice before 2nd task
19,Hfrd1,height first,removed dice before 1st task
20,Hfkd,height first,kept dice
21,Hfkd,height first,kept dice
22,Hfkd,height first,kept dice
23,HfrdTask,height first,removed dice before 1st prompt
24,Hfkd,height first,kept dice
25,Hfrd2,height first,removed dice before 2nd task
26,Hfrd1,height first,removed dice before 1st task
27,HfrdTask,height first,removed dice before 1st prompt
28,Hfkd,height first,kept dice
29,Hfrd2,height first,removed dice before 2nd task
30,Hfrd1,height first,removed dice before 1st task
31,Hfrd2,height first,removed dice before 2nd task
32,Hfkd,height first,kept dice
33,HfrdTask,height first,removed dice before 1st prompt
34,Hfkd,height first,kept dice
35,HfrdTask,height first,removed dice before 1st prompt
36,Hfrd1,height first,removed dice before 1st task
37,Hfrd1,height first,removed dice before 1st task
38,Hfrd1,height first,removed dice before 1st task
39,Hfrd2,height first,removed dice before 2nd task
40,Sfrd1,shape first,removed dice before 1st task
41,Sfrd1,shape first,removed dice before 1st task
42,Sfrd1,shape first,removed dice before 1st task
43,Sfkd,shape first,kept dice
44,Sfrd1,shape first,removed dice before 1st task
45,Sfkd,shape first,kept dice
46,Sfrd1,shape first,removed dice before 1st task
47,Sfrd2,shape first,removed dice before 2nd task
48,Sfkd,shape first,kept dice
49,SfBut2,shape first,put dice in hand for 2nd task!
50,HfrdTask,height first,removed dice before 1st prompt
51,Sfkd,shape first,kept dice
52,Sfkd,shape first,kept dice
53,SfrdTask,shape first,removed dice before 1st prompt
54,SfBut2,shape first,put dice in hand for 2nd task!
55,SfrdTask,shape first,removed dice before 1st prompt
56,Sfkd,shape first,kept dice
57,Sfkd,shape first,kept dice
58,Hfrd1,height first,removed dice before 1st task
59,Sfrd1,shape first,removed dice before 1st task
60,SfrdTask,shape first,removed dice before 1st prompt
61,Sfrd1,shape first,removed dice before 1st task
62,Sfkd,shape first,kept dice
63,Sfkd,shape first,kept dice
64,Sfkd,shape first,kept dice
65,Sfkd,shape first,kept dice
66,Sfrd1,shape first,removed dice before 1st task
67,Sfrd1,shape first,removed dice before 1st task
68,Sfrd1,shape first,removed dice before 1st task
69,Sfkd,shape first,kept dice
70,Sfrd1,shape first,removed dice before 1st task
71,Sfkd,shape first,kept dice
72,Sfrd1,shape first,removed dice before 1st task
73,Sfrd1,shape first,removed dice before 1st task
74,Sfkd,shape first,kept dice
75,Hfkd,height first,kept dice
76,Hfkd,height first,kept dice
77,SfBut2,shape first,put dice in hand for 2nd task!
78,SfrdTask,shape first,removed dice before 1st prompt
79,SfrdTask,shape first,removed dice before 1st prompt
80,Sfrd1,shape first,removed dice before 1st task
81,Sfrd1,shape first,removed dice before 1st task
82,Sfrd1,shape first,removed dice before 1st task
83,Sfkd,shape first,kept dice
84,Hfrd1,height first,removed dice before 1st task
85,Sfkd,shape first,kept dice
86,Sfrd2,shape first,removed dice before 2nd task
87,SfrdTask,shape first,removed dice before 1st prompt
88,SfrdTask,shape first,removed dice before 1st prompt
89,SfBut2,shape first,put dice in hand for 2nd task!
90,Sfrd1,shape first,removed dice before 1st task
91,Sfkd,shape first,kept dice
92,Sfkd,shape first,kept dice
93,Hfrd2,height first,removed dice before 2nd task
94,Sfkd,shape first,kept dice
95,Hfrd1,height first,removed dice before 1st task
96,Hfkd,height first,kept dice
97,Sfkd,shape first,kept dice
98,Sfrd1,shape first,removed dice before 1st task
99,Sfrd1,shape first,removed dice before 1st task
100,SfrdTask,shape first,removed dice before 1st prompt
101,Sfkd,shape first,kept dice
102,Hfrd1,height first,removed dice before 1st task
103,Sfrd1,shape first,removed dice before 1st task
104,Sfrd1,shape first,removed dice before 1st task
105,Hfrd1,height first,removed dice before 1st task
106,Sfkd,shape first,kept dice
107,Sfkd,shape first,kept dice
108,Sfrd1,shape first,removed dice before 1st task
109,Hfkd,height first,kept dice
110,Sfrd1,shape first,removed dice before 1st task
111,Hfrd1,height first,removed dice before 1st task
112,Hfkd,height first,kept dice
113,Hfrd1,height first,removed dice before 1st task
114,Hfrd2,height first,removed dice before 2nd task
115,Sfrd1,shape first,removed dice before 1st task
116,Sfkd,shape first,kept dice
117,Hfrd1,height first,removed dice before 1st task
118,Hfrd2,height first,removed dice before 2nd task
119,Sfrd1,shape first,removed dice before 1st task
120,Hfkd,height first,kept dice
121,Sfrd1,shape first,removed dice before 1st task
122,HfrdTask,height first,removed dice before 1st prompt
123,HfrdTask,height first,removed dice before 1st prompt
124,Hfrd1,height first,removed dice before 1st task
125,Hfrd1,height first,removed dice before 1st task
126,Hfkd,height first,kept dice
127,Hfkd,height first,kept dice
128,Sfrd1,shape first,removed dice before 1st task
129,Sfrd1,shape first,removed dice before 1st task
130,Sfrd1,shape first,removed dice before 1st task
131,Sfkd,shape first,kept dice
132,Sfrd1,shape first,removed dice before 1st task
133,Sfkd,shape first,kept dice
134,Sfrd1,shape first,removed dice before 1st task
135,Hfrd1,height first,removed dice before 1st task
136,Sfkd,shape first,kept dice
137,Sfkd,shape first,kept dice
138,Sfrd1,shape first,removed dice before 1st task
139,Sfkd,shape first,kept dice
140,Sfrd1,shape first,removed dice before 1st task
141,Sfkd,shape first,kept dice
142,Sfrd1,shape first,removed dice before 1st task
143,Sfkd,shape first,kept dice
144,Sfkd,shape first,kept dice
145,Sfrd1,shape first,removed dice before 1st task
146,Sfrd1,shape first,removed dice before 1st task
147,Sfkd,shape first,kept dice
148,Sfkd,shape first,kept dice
149,Hfrd2,height first,removed dice before 2nd task
150,Sfkd,shape first,kept dice
151,Hfrd2,height first,removed dice before 2nd task
152,Sfkd,shape first,kept dice
153,SfBut2,shape first,put dice in hand for 2nd task!
154,Sfrd1,shape first,removed dice before 1st task
155,Sfkd,shape first,kept dice
156,Sfkd,shape first,kept dice
157,Sfkd,shape first,kept dice
158,Sfkd,shape first,kept dice
159,Sfkd,shape first,kept dice
160,Sfrd1,shape first,removed dice before 1st task
161,Sfrd1,shape first,removed dice before 1st task
162,Sfrd1,shape first,removed dice before 1st task
163,Hfrd2,height first,removed dice before 2nd task
164,Sfkd,shape first,kept dice
165,Sfrd1,shape first,removed dice before 1st task
166,Sfrd1,shape first,removed dice before 1st task
167,Sfrd1,shape first,removed dice before 1st task
168,SfBut2,shape first,put dice in hand for 2nd task!
169,Sfrd1,shape first,removed dice before 1st task
170,Sfrd1,shape first,removed dice before 1st task
171,Hfrd1,height first,removed dice before 1st task
172,Sfrd1,shape first,removed dice before 1st task
173,Sfkd,shape first,kept dice
174,Sfkd,shape first,kept dice
175,Sfkd,shape first,kept dice
176,Sfkd,shape first,kept dice
177,Hfrd1,height first,removed dice before 1st task
178,Sfrd1,shape first,removed dice before 1st task
179,Sfkd,shape first,kept dice
180,Hfkd,height first,kept dice
181,Sfrd1,shape first,removed dice before 1st task
182,Sfkd,shape first,kept dice
183,Sfkd,shape first,kept dice
184,Sfrd1,shape first,removed dice before 1st task
185,Hfrd2,height first,removed dice before 2nd task
