ID,Condition,Shape,Size,Comments
R_3pbbQEiAxdVGOd5,HighCurl,circle,sixze of bottom of coke can,none
R_2VP96hjgLNWKIIU,LowCurl,a letter e,medium,it looked like the letter e
R_2qkkbAp81rYnANH,HighCurl,a hand in the shape of a c,5 inches,I have trouble estimating sizes  so the numbers might be off a bit.
R_25yVqi93EH8T19s,LowCurl,round with a handle,about hand sized,It's a cup
R_2zq15yDEhMyg7aW,HighCurl,round,"about an inch and half, no more than 2 inches",The object was held between the thumb and the forefinger. It seemed pretty small and not especially heavy. Possibly delicate or fragile.
R_3G7Z1VbsNnWWLxQ,HighCurl,c shape like the letter,mid sized not fully extended fingers,N/A
R_Rsj9AzEwduYS0nL,HighCurl,"semicircular, like a backwards c",it was medium sized,No additional comments
R_1gwHRLA4XgeGPTI,LowCurl,rounded like a cup,6 inches diameter,IT WAS CLEARLY A CUP
R_wY99Osu0BDv7s7n,HighCurl,the shape was like an o or a c,the size was maybe like that of a cap on something like honey or sort of like the size of a big bolt,"I forgot to say, the gesture is kind of like the ""ok"" sign."
R_1JWyOGNkMr3Hdhq,HighCurl,it was the shape of the letter c,it was approximately 4 inches in diameter,The hand seemed to be forming the letter C or perhaps a symbol in sign language
R_2vZzlTn3cOGrW6B,LowCurl,circle,medium,"none, thanks"
R_3OpiMtkKvlF5xAo,LowCurl,circular or rounded,about the size of a human's palm,No comments
R_3L1PZ8l4eJ3gow2,HighCurl,it had a cylindrical shape that was hollow,a little of two inches in length and one in width,thanks
R_2Wx3vhwEJreh1BC,LowCurl,it was spherical,it was small to medium,"It looks at first as though someone is throwing a baseball, although the hand position is hard to duplicate."
R_30v3wHuqamVhBB6,HighCurl,cylindrical because that was the shape of the hand,a few inches because that was how far apart the thumb and index fingers were,"I also thought that it could be in the shape of the letter ""C"" due to the shape of the hand and from personal experience when spelling words out to people using my hand."
R_1rGPZfAFq8DLUU0,HighCurl,the shape was a cirlce,about 3 inches in diameter ,none
R_1rNYnkBogDVtbxQ,HighCurl,circle,the size of a soda can,I have no comments
R_puFpro7OR8kFJXr,LowCurl,it was shaped like the letter c or a half circle,the size was small,I can do the C shape but I can't seem to lift my middle finger up the way the picture had it.
R_1hYeyzseedh2MUf,HighCurl,shaped like a small pill-bottle shaped capsule,"small, maybe two or three inches tall",none
R_2wBwzpRaNWhrpCA,LowCurl,a backwards c,the object was smaller then original size,Thank you!
R_BsxuuBXbuLKJrON,LowCurl,frog,baseball,none
R_1gcrY8z4F0dpvGd,HighCurl,round and probably a ball,about the size of a racquetball ball,The hand itself looked a bit wonky.  I think it would be helpful to use a hand with a bit more bones in it.
R_3O1SFsueXy1j6DV,LowCurl,"backwards c, or a horseshoe",4 inch diameter,Was it a backwards C?
R_byztKGADLWipmQ9,LowCurl,circular,3 inch diameter,no issues
R_2WJxZLzbhBMZacE,LowCurl,"roundish, open on one side, with something on the top of it ","i initially thought the object would be smaller - i think it has to do with the size of the opening on the one side, i'm not exactly sure what gave me that impression",That was tough to describe.
